a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
lyn	pp2	89	2527	2105	33810017	{24686085, 27941902, 19949072, 33883672, 12707358, 15795233, 20645409, 16314406, 12504103, 21098033, 20043832, 18550847, 14572611, 18662984, 12739161, 20696161, 11452011, 24352878, 11160694, 32690822, 18984583, 25967238, 17927818, 35217034, 21769868, 21345943, 22957720, 29097117, 15175350, 20840632, 18068154, 21951684, 12645577, 25585356, 11238609, 19066080, 16713446, 23149288, 14726379, 15180535, 19047160, 15632127, 16751367, 18056483, 20189992, 16687414, 26659126, 15077178, 23422267, 27881786, 14634819, 29937990, 16791881, 18326860, 12471124, 25870166, 23554907, 15869794, 10880360, 12007793, 22731636, 23838580, 12444544, 21592972, 17432977, 17230226, 28419476, 19506077, 24552351, 18363812, 28670375, 14687667, 22354875, 16177087, 23567296, 10858437, 11164102, 22182854, 22612424, 18621907, 11274196, 15650771, 15601623, 18519516, 15665117, 25817574, 11751911, 15130090, 17452533}	5.4409919731544304e-210	0.0024947889614850283	0.04228028503562945
sfpq	(−)-proline	66	210	44268	33810017	{31815296, 19850496, 26951683, 30142213, 22114566, 28117896, 28202761, 25765647, 24173718, 30661786, 23642268, 31393052, 34218270, 28341660, 24523552, 34288034, 33476259, 32577828, 32770214, 34462374, 20421926, 35064112, 35274674, 34052659, 27095734, 34787639, 28743736, 33729478, 27633854, 34499008, 24507715, 28147269, 29551686, 34708039, 30939845, 31085769, 33193674, 30026827, 25605962, 32661324, 17393485, 27919567, 32198010, 32764370, 31204691, 34396115, 34365909, 28701145, 32950106, 29376859, 32884448, 35247074, 29530979, 30153828, 33495278, 33419764, 34459124, 28189686, 30423030, 21565176, 16641145, 25326457, 32332923, 30725116, 32998269, 34404863}	1.47133995380396e-135	0.030244383960962296	0.0014909189482244511
rac1	nicotinamide adenine dinucleotide	103	8617	12833	33810017	{12894215, 22975496, 18653711, 21219858, 19182107, 22192670, 18925608, 21119529, 23919665, 21335603, 14978110, 25356862, 28004421, 14688330, 21610570, 20813901, 22075471, 27632208, 15585872, 8879195, 23774812, 33411679, 23733346, 22696046, 24480879, 16641134, 23908467, 25886843, 26939003, 30066307, 8036496, 11929750, 16926363, 15238820, 29342889, 34456745, 28200110, 20040888, 18535108, 15893190, 26158288, 27795668, 23729366, 18195159, 23864022, 28388570, 31266025, 17194732, 21551343, 29957360, 31578871, 23377658, 23203066, 26838789, 28487945, 15521546, 18335519, 27035426, 29626150, 20054824, 22366511, 20418360, 26553657, 17056570, 20692795, 17659204, 17562954, 30007118, 31216465, 22806357, 20362073, 31247196, 23723366, 23128423, 25725292, 22358380, 16554353, 9585526, 24334207, 17317778, 22139798, 21478303, 22421922, 21159852, 16275890, 23028658, 29425589, 17515454, 29454792, 31433161, 17008589, 15142861, 15817678, 17986515, 17494996, 20117462, 18536919, 16330715, 19881949, 18079208, 11145705, 24527339, 30157294}	1.5453272638813722e-113	0.00661240192130208	0.008026182498246708
fnip2	birt	18	35	721	33810017	{27303042, 33137092, 26608100, 28970150, 26334087, 25126726, 25775561, 29897930, 26581862, 33459596, 23223565, 19914239, 23108783, 34779410, 32195250, 28039480, 18663353, 18403135}	3.0463730749440434e-75	0.0018679429776966572	0.024965325936199722
apoc2	triglycerides	43	288	67671	33810017	{33656326, 30352774, 30892045, 32332431, 26271253, 26901141, 23707545, 29100061, 28829998, 15591215, 32841138, 29615667, 26574515, 28916403, 29748148, 30307897, 34986301, 32915777, 32092738, 32280258, 29214790, 17883852, 34019660, 29910226, 33588820, 23357145, 33980761, 21880794, 29452893, 12403806, 30150141, 20940006, 26727015, 23470567, 30720493, 31840878, 23119086, 11286640, 24721265, 24704626, 31619059, 19304573, 32893822}	1.9188085574062845e-65	0.04149669478647411	0.0006354272879076709
alox12	arachidonic acid	31	168	38489	33810017	{16514435, 22668814, 19117969, 30815256, 20641053, 28400162, 32841762, 15308583, 30532780, 33564083, 23404351, 24975552, 29392977, 30565457, 33662546, 34910546, 32265301, 32151768, 26672987, 20626912, 34708578, 23958500, 27552229, 18640486, 32540644, 24686056, 28381806, 20181616, 23382512, 29145845, 34029049}	2.894198421154033e-58	0.00940849888138473	0.0008054249266024059
lpcat3	phospholipids	27	78	52813	33810017	{26833026, 34092035, 27341449, 30853650, 25898003, 33945875, 25175316, 27913621, 22511767, 32259740, 19351971, 18781350, 35165232, 23208369, 24563510, 19809218, 27632198, 24206663, 28338522, 33801564, 25806685, 30705887, 30379616, 31382500, 23580142, 28846071, 20489212}	1.0469088434682127e-55	0.02716406201943755	0.0005112377634294586
tpk1	thiamine	23	156	10438	33810017	{34390792, 33565067, 32361878, 32679198, 30459934, 33231275, 33086386, 30483896, 30789823, 31095747, 28352471, 25458521, 32184802, 31288420, 25484137, 28706281, 22152682, 27191787, 34487534, 34942318, 25788274, 31404531, 17295612}	3.319457715535232e-54	0.008245356846600771	0.0022034872580954205
pde9a	guanosine	24	92	24853	33810017	{18564357, 30443663, 31578258, 24746902, 33967779, 28120486, 29505961, 32418479, 11125425, 27662514, 30249014, 23025719, 25799991, 22245562, 26556348, 27732797, 32826058, 33787083, 34016083, 34569183, 21766240, 31121256, 22704629, 21336703}	4.7201554125517994e-54	0.013224342837929726	0.0009656781877439343
itpkb	inositol 1,3,4,5-tetrakisphosphate	13	69	568	33810017	{24401760, 17417640, 23776233, 33785611, 31081803, 14517551, 15064401, 27036498, 26446452, 19342645, 17709751, 25892505, 20452702}	2.8552568079854092e-49	0.0019484329968690872	0.022887323943661973
