a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
nlgn3	autism	85	117	51995	33810017	{16508939, 25687563, 31184401, 20868653, 30757938, 21569590, 15274046, 32381505, 34542148, 15389766, 23431752, 18555979, 18628683, 23851596, 18361425, 31773792, 25464930, 33347690, 28948087, 18419324, 30056576, 34690695, 12669065, 29939863, 22934180, 24570023, 27897003, 28535982, 28841651, 16648374, 27743928, 19645625, 20615874, 32760004, 15679194, 19348707, 28795135, 31758607, 25347860, 29802263, 22213401, 21615902, 31827744, 31705895, 32327975, 23020841, 25199916, 31754030, 33164597, 24773431, 32848696, 29028156, 23468870, 23761734, 20227402, 19607885, 28958035, 23710042, 24238429, 25592157, 30636904, 31002480, 26781567, 24362370, 27805570, 19545994, 22723984, 22106001, 34845591, 16077734, 26469287, 34262438, 16429495, 28584888, 27782075, 22633921, 29503438, 34575826, 27865048, 30201312, 18189281, 22892527, 33758193, 25167861, 31119867}	3.679519097056411e-211	0.040142504032701254	0.001634772574285989
chchd10	frontotemporal dementia	43	100	7392	33810017	{26804609, 28318595, 29102476, 26152333, 24934289, 32116499, 26719380, 25155093, 29112723, 26719383, 32890771, 25726362, 35173147, 26666268, 33538206, 26362910, 27578015, 29605155, 28749476, 27066538, 30874923, 26344877, 28573364, 28069311, 28585542, 32338760, 31690696, 31526091, 32369233, 34389718, 30791515, 33659869, 25428574, 31687268, 30496485, 29519717, 33772006, 30084972, 30092269, 29121267, 25953779, 25953780, 28462717}	1.350590116426837e-129	0.0038358219899237156	0.005817099567099567
chd7	ear abnormalities	38	502	449	33810017	{17334657, 33671041, 26850571, 22419601, 19251738, 24578717, 17149726, 19375527, 30733481, 21338411, 19058860, 16615981, 23885230, 26921530, 16959034, 25119037, 20186815, 26538304, 30943680, 27832265, 31146700, 23677905, 21931733, 19403480, 26563674, 32247258, 17436250, 16400610, 19598179, 31833191, 31610215, 26670829, 20624498, 30237300, 23920116, 21856375, 17280632, 35246073}	1.8357748836911856e-129	0.0015696438495069742	0.08463251670378619
tp53	cholangiocarcinoma	123	17444	14674	33810017	{32794627, 10718212, 29948422, 31158800, 27823638, 34608670, 22675488, 31925805, 34439216, 29654067, 26486326, 29976634, 32020551, 25526346, 33387086, 33741397, 20428886, 29551704, 33344089, 34234458, 23845469, 24349281, 31949927, 25536104, 30158952, 34873971, 35135097, 34987644, 28667006, 34608257, 31929988, 34949765, 34868359, 32631434, 24889489, 15288479, 29740198, 12175538, 27460275, 34440884, 30882996, 35220676, 32533190, 32923849, 34945742, 27127503, 32641744, 33932504, 29278425, 33579226, 33216732, 34608877, 19464430, 22561520, 14506736, 26717940, 27267833, 28693246, 24895231, 28126467, 31476489, 34205964, 30672653, 24186137, 32295706, 31214875, 33317146, 33014052, 34476330, 31359275, 32256810, 26427701, 29871934, 32173382, 27009864, 26189129, 35171660, 25693006, 30006612, 10564951, 31064408, 25966424, 23828315, 28648284, 34653023, 32899426, 34974575, 30602096, 19578742, 34543483, 29848569, 24563076, 31122820, 29408647, 33478536, 17047434, 35008396, 31130514, 30908307, 33415066, 33754015, 30690729, 30480811, 34903468, 18439086, 34971568, 10963376, 35070393, 34810298, 27102149, 24532422, 33416138, 23694797, 33948111, 22180306, 33765338, 27634656, 33535978, 10735605, 35053560, 33963001, 34795005, 33859071}	2.6854902463018565e-101	0.027686204994097352	0.008382172550088591
col9a3	multiple epiphyseal dysplasia	25	115	405	33810017	{16691584, 10678658, 15459972, 11565064, 10090888, 28742282, 10655510, 32264862, 21922596, 30740902, 15523498, 11479597, 24273071, 23530037, 11528506, 20358595, 25381065, 11968079, 21965141, 33633367, 11891674, 11200990, 10364514, 15551337, 9258750}	5.432384159219438e-99	0.001724923960864544	0.06172839506172839
sycp3	testicular	53	275	66299	33810017	{30396549, 32160520, 31593228, 30356879, 33323153, 32952085, 33608983, 34494233, 20075417, 30597018, 21621532, 31214493, 24850846, 28488736, 28893856, 34207904, 27056417, 32568099, 26088866, 33492648, 26043179, 35092652, 31693487, 32818607, 33532340, 31133243, 33658940, 26474686, 24298047, 31376322, 30818116, 33513287, 21594953, 16495306, 16824523, 35052491, 26661581, 15218256, 17920210, 23616595, 24710098, 20130270, 29047395, 22116071, 30079463, 32034794, 34425195, 32212460, 33989617, 22732146, 19525366, 30530043, 33725311}	4.2651471678424955e-87	0.04347386793233454	0.0007994087391966696
lrsam1	charcot-marie-tooth	26	51	4768	33810017	{30726272, 28902413, 29845787, 26556829, 22781092, 33414056, 33568173, 28286897, 29341362, 23519028, 31852984, 22012984, 28335037, 31827005, 23781959, 27615052, 25380047, 33381078, 27686364, 20865121, 27462242, 26900582, 31982566, 30826859, 24894446, 30996334}	1.7572146065329003e-86	0.002863770117983222	0.005453020134228188
tbc1d20	micro syndrome	14	29	67	33810017	{25476608, 26852512, 25899426, 27081543, 32740904, 29419336, 32162791, 35196747, 32477580, 32599602, 25332050, 24239381, 26063829, 27487390}	2.5942495528997835e-73	0.0016370920930057764	0.208955223880597
msi1	glioblastoma	31	294	39595	33810017	{27285760, 28143872, 22201732, 22258704, 22428049, 34990616, 35052701, 33804958, 34029218, 33317545, 30959276, 26100017, 33291443, 31756732, 21881409, 33918794, 29486283, 27176780, 26303183, 31116627, 31824472, 27210718, 35085407, 30322656, 17140455, 31004009, 30362859, 21234290, 35158774, 28821879, 27470713}	7.648841842572189e-50	0.027821815805509686	0.0007829271372648062
skiv2l	syndromic diarrhea	9	64	18	33810017	{29868001, 29383842, 30397475, 28944135, 25343120, 25714577, 29484573, 22444670, 23302111}	8.416613385057978e-48	0.0015820721164345741	0.5
tulp1	retina	26	104	79798	33810017	{32655363, 23746204, 24664738, 12187427, 16354724, 9096357, 10674986, 21867699, 29348794, 33213002, 26911694, 10892883, 25074776, 17525851, 15733342, 9462750, 9462751, 35145825, 17525220, 10509669, 17962469, 16303976, 11483369, 18632300, 21722349, 34360830}	9.353409044704703e-45	0.04704490187577903	0.0003258227023233665
macrod1	mono	18	35	55308	33810017	{34813698, 29028410, 25975270, 33578760, 24878761, 23736681, 31216043, 32683309, 24865146, 27440879, 30267646, 32527186, 23639026, 26814197, 23474714, 32427867, 27406238, 29410655}	3.1012958539872405e-41	0.025827457895502448	0.0003254502061184639
naprt1	nad	15	20	36997	33810017	{24204194, 26678339, 34200964, 33197538, 29054982, 22570471, 25201160, 27390344, 27592202, 25709099, 29935245, 24403854, 24097869, 19703994, 34187548}	5.940202175696297e-41	0.02165358210913837	0.0004054382787793605
pign	proliferative glomerulonephritis	14	121	2513	33810017	{24506276, 31192229, 16736422, 35070693, 25394437, 26668683, 28381748, 6391768, 25893528, 21051737, 29809306, 20178715, 25878780, 21545311}	1.1381411696354005e-40	0.0017723110504448414	0.005571030640668524
ptpn1	insulin resistance	29	207	88015	33810017	{15229188, 34725898, 16505227, 17560463, 30674322, 31737637, 30043179, 20401454, 20704943, 21113646, 23178931, 27516476, 18599621, 17072583, 32928080, 15504985, 29088862, 25299681, 16363874, 26506979, 28025059, 20101100, 33164398, 33116398, 22811891, 19997558, 18077048, 34722683, 16677372}	1.4994538181870675e-40	0.01890062401071191	0.00032948929159802305
abca4	cleft lip	23	794	14263	33810017	{32318854, 31950859, 30462859, 32698641, 23008150, 22753311, 33467554, 21567910, 35212839, 24738728, 23512105, 27154735, 21834038, 25081408, 33152973, 34769998, 28662356, 23167473, 31122291, 25499508, 20436469, 22496123, 25163644}	2.39677046597643e-34	0.004459057934582233	0.0016125639767229896
