a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
ugt2b17	ugt2b15	107	282	311	33810017	{18719240, 33258507, 19487245, 10995221, 24879639, 22265884, 9699884, 19666989, 27706926, 15475248, 18281521, 19746353, 29316660, 10623541, 29959221, 26646591, 21614655, 9480769, 10468930, 9202245, 15135306, 10339403, 24861263, 21541968, 29328989, 17698910, 22170718, 26586211, 30409834, 26797685, 17988216, 18496127, 15666817, 28882566, 30086285, 27347605, 19572376, 24121496, 31421085, 27372715, 26621101, 9564848, 24267955, 16480962, 19916996, 26385605, 23223495, 23805127, 17151189, 11929814, 29107422, 25684194, 26176234, 9569009, 19643121, 31545074, 27307252, 17848572, 16595710, 8798464, 27496708, 24349450, 18467088, 11159850, 27092269, 23604525, 28673330, 12695357, 33503040, 20736324, 31472452, 19218247, 15608137, 22259019, 10419020, 28121931, 30616396, 30478159, 18990428, 26163549, 31502688, 20070244, 18471784, 21245288, 26495850, 22111604, 20930423, 34390906, 19439486, 23098242, 21365123, 32660355, 18238858, 30262668, 22564759, 19661211, 23197595, 20662711, 19224506, 22749127, 34541032, 29367276, 29602798, 28753904, 27899892, 32955894, 31812603}	0.0	0.0013114889152348042	0.3440514469453376
ak2	ak1	63	200	366	33810017	{183040, 2261892, 230024, 23575945, 175758, 24727438, 35300368, 26063505, 9920788, 9504408, 20230300, 16790685, 15971618, 9504419, 231203, 193317, 19262758, 3002789, 19468337, 32464434, 5940, 1764917, 21470774, 21439926, 33560378, 31886270, 6086335, 17294143, 33571905, 2844738, 9813319, 6086346, 10218571, 24127692, 27854030, 168147, 8647254, 19268694, 7153494, 7197402, 6308059, 32945115, 26049117, 9241437, 28756063, 24726623, 27859553, 21556322, 18423391, 6188389, 8468325, 22819813, 16167529, 20364138, 7320553, 25964010, 25577709, 6295918, 26400880, 2168054, 2291959, 24740601, 26898687}	4.04214116931859e-263	0.0015178648754954338	0.1721311475409836
cyba	ncf1	50	289	286	33810017	{27222152, 24943880, 30567305, 18523147, 33629196, 26185101, 26210446, 22562447, 16608528, 33717137, 30716179, 24376854, 22924696, 18546332, 28251166, 27143074, 33746979, 18773283, 23821607, 32061865, 28112175, 32512560, 30761141, 30506560, 32736065, 16937026, 32245826, 30470980, 31178179, 34547651, 29454792, 30062795, 27666509, 22075471, 28864335, 35172562, 32502492, 20167518, 34445407, 32524254, 22883043, 29560547, 32040803, 33868007, 30270440, 22556142, 26680691, 22467573, 17897462, 34482812}	9.846181923039582e-200	0.0015807729214429855	0.17482517482517482
sprn	prnp	33	59	1710	33810017	{22723200, 22093825, 22114562, 28605958, 22860039, 19070601, 31905681, 19059475, 17703189, 17199895, 25364761, 31649311, 19657386, 22937002, 29666222, 19515828, 27047737, 26516793, 33713980, 22619325, 17562432, 18805828, 15342797, 21674189, 22929230, 21196244, 22367317, 17537256, 21483752, 35151978, 22492914, 17091316, 21528440}	4.927200253421259e-126	0.001982154091820121	0.01929824561403509
fnip1	fnip2	22	53	35	33810017	{23248642, 27303042, 26334087, 33459596, 23223565, 27353360, 34779410, 20448661, 28970150, 23108783, 32195250, 28039480, 18663353, 18403135, 33137092, 25775561, 29897930, 26608100, 26581862, 31570284, 23582324, 19914239}	1.7623318655921666e-121	0.0013167420402169228	0.6285714285714286
yy2	yy1	26	35	1817	33810017	{8704128, 20215434, 16260628, 31299606, 26350623, 16377127, 19026728, 27191592, 25333679, 26345265, 22844087, 25806020, 21530438, 29604937, 28903375, 15087442, 19638226, 29098080, 12552803, 32969187, 31131888, 17478514, 32894066, 34066930, 35246964, 22248057}	5.736629952844198e-104	0.001671799924224615	0.014309301045679693
slurp1	mal	31	59	7774	33810017	{25168896, 26139149, 24738704, 29231248, 23290002, 27666198, 24499735, 32157724, 18347294, 28418591, 24093092, 20854438, 25557416, 21690549, 26967477, 31443639, 31582262, 31882421, 24985918, 25102791, 20082890, 26474319, 23139280, 29023701, 25919322, 24604124, 29226984, 14721776, 17008884, 26254200, 31258365}	8.389404350162255e-97	0.0034090708941221237	0.00398765114484178
cyp4f3	cyp4f2	23	59	480	33810017	{15145985, 23846787, 16835590, 11353747, 23054612, 11162645, 9539102, 12432928, 10964514, 21205922, 11715494, 21778351, 22706230, 18433732, 18828626, 11893593, 16077914, 10405341, 21187935, 29588191, 11162607, 10492403, 34402291}	2.671326570326174e-96	0.0015572940465062857	0.04791666666666667
atp4a	atp4b	17	73	38	33810017	{34439938, 23317218, 32190306, 18214536, 28102858, 25993003, 32611790, 28201999, 34012270, 17603058, 24654229, 30539573, 32250454, 7873882, 24307675, 33031196, 23800157}	1.8355826487681009e-87	0.001250262837857008	0.4473684210526316
ppp3r1	ppp3cb	15	61	49	33810017	{33862465, 8978785, 23888774, 28244807, 29422055, 26436650, 20593291, 17574220, 21233773, 26411342, 28540409, 28761977, 20107831, 27907007, 23315007}	1.685300080788901e-75	0.0012441040016710758	0.30612244897959184
